model	seed	config	job_name
biot	42	/home/erimoldi/openclaw_remote/projects/eeg-spatial-paper/configs/eegfm_bench/generated/bcic2a_table2_5seed/biot_seed42.yaml	efm_biot_bcic2a_t2_s42
biot	43	/home/erimoldi/openclaw_remote/projects/eeg-spatial-paper/configs/eegfm_bench/generated/bcic2a_table2_5seed/biot_seed43.yaml	efm_biot_bcic2a_t2_s43
biot	44	/home/erimoldi/openclaw_remote/projects/eeg-spatial-paper/configs/eegfm_bench/generated/bcic2a_table2_5seed/biot_seed44.yaml	efm_biot_bcic2a_t2_s44
biot	45	/home/erimoldi/openclaw_remote/projects/eeg-spatial-paper/configs/eegfm_bench/generated/bcic2a_table2_5seed/biot_seed45.yaml	efm_biot_bcic2a_t2_s45
biot	46	/home/erimoldi/openclaw_remote/projects/eeg-spatial-paper/configs/eegfm_bench/generated/bcic2a_table2_5seed/biot_seed46.yaml	efm_biot_bcic2a_t2_s46
cbramod	42	/home/erimoldi/openclaw_remote/projects/eeg-spatial-paper/configs/eegfm_bench/generated/bcic2a_table2_5seed/cbramod_seed42.yaml	efm_cbramod_bcic2a_t2_s42
cbramod	43	/home/erimoldi/openclaw_remote/projects/eeg-spatial-paper/configs/eegfm_bench/generated/bcic2a_table2_5seed/cbramod_seed43.yaml	efm_cbramod_bcic2a_t2_s43
cbramod	44	/home/erimoldi/openclaw_remote/projects/eeg-spatial-paper/configs/eegfm_bench/generated/bcic2a_table2_5seed/cbramod_seed44.yaml	efm_cbramod_bcic2a_t2_s44
cbramod	45	/home/erimoldi/openclaw_remote/projects/eeg-spatial-paper/configs/eegfm_bench/generated/bcic2a_table2_5seed/cbramod_seed45.yaml	efm_cbramod_bcic2a_t2_s45
cbramod	46	/home/erimoldi/openclaw_remote/projects/eeg-spatial-paper/configs/eegfm_bench/generated/bcic2a_table2_5seed/cbramod_seed46.yaml	efm_cbramod_bcic2a_t2_s46
labram	42	/home/erimoldi/openclaw_remote/projects/eeg-spatial-paper/configs/eegfm_bench/generated/bcic2a_table2_5seed/labram_seed42.yaml	efm_labram_bcic2a_t2_s42
labram	43	/home/erimoldi/openclaw_remote/projects/eeg-spatial-paper/configs/eegfm_bench/generated/bcic2a_table2_5seed/labram_seed43.yaml	efm_labram_bcic2a_t2_s43
labram	44	/home/erimoldi/openclaw_remote/projects/eeg-spatial-paper/configs/eegfm_bench/generated/bcic2a_table2_5seed/labram_seed44.yaml	efm_labram_bcic2a_t2_s44
labram	45	/home/erimoldi/openclaw_remote/projects/eeg-spatial-paper/configs/eegfm_bench/generated/bcic2a_table2_5seed/labram_seed45.yaml	efm_labram_bcic2a_t2_s45
labram	46	/home/erimoldi/openclaw_remote/projects/eeg-spatial-paper/configs/eegfm_bench/generated/bcic2a_table2_5seed/labram_seed46.yaml	efm_labram_bcic2a_t2_s46
