JobID|JobName|State|Elapsed|ExitCode|Partition|AllocCPUS
14012628|efm_biot_physiomi_t2_s42|COMPLETED|00:10:58|0:0|pi_tpoggio|8
14012628.batch|batch|COMPLETED|00:10:58|0:0||8
14012628.extern|extern|COMPLETED|00:10:58|0:0||8
14012628.0|python|COMPLETED|00:10:56|0:0||8
14012629|efm_biot_physiomi_t2_s43|COMPLETED|00:12:24|0:0|ou_bcs_normal|8
14012629.batch|batch|COMPLETED|00:12:24|0:0||8
14012629.extern|extern|COMPLETED|00:12:24|0:0||8
14012629.0|python|COMPLETED|00:12:22|0:0||8
14012630|efm_biot_physiomi_t2_s44|COMPLETED|00:14:37|0:0|ou_bcs_normal|8
14012630.batch|batch|COMPLETED|00:14:37|0:0||8
14012630.extern|extern|COMPLETED|00:14:37|0:0||8
14012630.0|python|COMPLETED|00:14:35|0:0||8
14012631|efm_biot_physiomi_t2_s45|COMPLETED|00:15:24|0:0|ou_bcs_normal|8
14012631.batch|batch|COMPLETED|00:15:24|0:0||8
14012631.extern|extern|COMPLETED|00:15:24|0:0||8
14012631.0|python|COMPLETED|00:15:22|0:0||8
14012632|efm_biot_physiomi_t2_s46|COMPLETED|00:16:55|0:0|ou_bcs_normal|8
14012632.batch|batch|COMPLETED|00:16:55|0:0||8
14012632.extern|extern|COMPLETED|00:16:55|0:0||8
14012632.0|python|COMPLETED|00:16:53|0:0||8
14012633|efm_cbramod_physiomi_t2_s42|COMPLETED|00:13:30|0:0|ou_bcs_normal|8
14012633.batch|batch|COMPLETED|00:13:30|0:0||8
14012633.extern|extern|COMPLETED|00:13:30|0:0||8
14012633.0|python|COMPLETED|00:13:28|0:0||8
14012634|efm_cbramod_physiomi_t2_s43|COMPLETED|00:14:43|0:0|ou_bcs_normal|8
14012634.batch|batch|COMPLETED|00:14:43|0:0||8
14012634.extern|extern|COMPLETED|00:14:43|0:0||8
14012634.0|python|COMPLETED|00:14:41|0:0||8
14012635|efm_cbramod_physiomi_t2_s44|COMPLETED|00:13:55|0:0|mit_preemptable|8
14012635.batch|batch|COMPLETED|00:13:55|0:0||8
14012635.extern|extern|COMPLETED|00:13:56|0:0||8
14012635.0|python|COMPLETED|00:13:52|0:0||8
14012636|efm_cbramod_physiomi_t2_s45|COMPLETED|00:13:55|0:0|mit_preemptable|8
14012636.batch|batch|COMPLETED|00:13:55|0:0||8
14012636.extern|extern|COMPLETED|00:13:55|0:0||8
14012636.0|python|COMPLETED|00:13:52|0:0||8
14012637|efm_cbramod_physiomi_t2_s46|COMPLETED|00:13:55|0:0|mit_preemptable|8
14012637.batch|batch|COMPLETED|00:13:55|0:0||8
14012637.extern|extern|COMPLETED|00:13:55|0:0||8
14012637.0|python|COMPLETED|00:13:52|0:0||8
14012638|efm_labram_physiomi_t2_s42|COMPLETED|00:16:13|0:0|mit_preemptable|8
14012638.batch|batch|COMPLETED|00:16:13|0:0||8
14012638.extern|extern|COMPLETED|00:16:13|0:0||8
14012638.0|python|COMPLETED|00:16:10|0:0||8
14012639|efm_labram_physiomi_t2_s43|COMPLETED|00:13:56|0:0|pi_tpoggio|8
14012639.batch|batch|COMPLETED|00:13:56|0:0||8
14012639.extern|extern|COMPLETED|00:13:56|0:0||8
14012639.0|python|COMPLETED|00:13:53|0:0||8
14012640|efm_labram_physiomi_t2_s44|COMPLETED|00:14:04|0:0|pi_tpoggio|8
14012640.batch|batch|COMPLETED|00:14:04|0:0||8
14012640.extern|extern|COMPLETED|00:14:04|0:0||8
14012640.0|python|COMPLETED|00:14:02|0:0||8
14012641|efm_labram_physiomi_t2_s45|COMPLETED|00:14:03|0:0|pi_tpoggio|8
14012641.batch|batch|COMPLETED|00:14:03|0:0||8
14012641.extern|extern|COMPLETED|00:14:03|0:0||8
14012641.0|python|COMPLETED|00:14:01|0:0||8
14012642|efm_labram_physiomi_t2_s46|COMPLETED|00:13:52|0:0|pi_tpoggio|8
14012642.batch|batch|COMPLETED|00:13:52|0:0||8
14012642.extern|extern|COMPLETED|00:13:52|0:0||8
14012642.0|python|COMPLETED|00:13:50|0:0||8
