run_id	stage	dataset	dataset_slug	backbone	variant	seed	seeds	hparams_id	hparams_json	status	balanced_accuracy	accuracy	best_val_balanced_accuracy	best_epoch	run_dir	config	job_name	notes
stage1_screen_bcic2a_biot_coords3d_gain0p10_s42	stage1_screen	bcic_2a	bcic2a	biot	coords3d	42	42	coords3d_gain0p10	"{""spatial_init_gain"":0.1}"	planned						configs/eegfm_bench/generated/spatial_search/stage1_screen/bcic2a/biot/stage1_screen_bcic2a_biot_coords3d_gain0p10_s42.yaml	ss_s1_bcic2a_biot_c3_gain0p10_s42	BIOT 3D coordinate token residual
stage1_screen_bcic2a_biot_coords3d_rbf_axes_n6_gain0p10_s42	stage1_screen	bcic_2a	bcic2a	biot	coords3d_rbf	42	42	coords3d_rbf_axes_n6_gain0p10	"{""spatial_embedding_kwargs"":{""anchor_mode"":""axes"",""n_rbf"":6},""spatial_init_gain"":0.1}"	completed	0.23958333333333334	0.23958333333333334	0.296875	3	results/spatial_search/runs/bcic_2a_biot_coords3d_rbf_full_seed42_same_layout_2026-05-17-0607	configs/eegfm_bench/generated/spatial_search/stage1_screen/bcic2a/biot/stage1_screen_bcic2a_biot_coords3d_rbf_axes_n6_gain0p10_s42.yaml	ss_s1_bcic2a_biot_c3_rbf_axes_n6_gain0p10_s42	BIOT Euclidean anchor-RBF coordinate token residual
stage1_screen_bcic2a_biot_coords3d_geodesic_rbf_axes_n6_gain0p10_s42	stage1_screen	bcic_2a	bcic2a	biot	coords3d_geodesic_rbf	42	42	coords3d_geodesic_rbf_axes_n6_gain0p10	"{""spatial_embedding_kwargs"":{""anchor_mode"":""axes"",""n_rbf"":6},""spatial_init_gain"":0.1}"	completed	0.2673611111111111	0.2673611111111111	0.2977430555555556	6	results/spatial_search/runs/bcic_2a_biot_coords3d_geodesic_rbf_full_seed42_same_layout_2026-05-17-0608	configs/eegfm_bench/generated/spatial_search/stage1_screen/bcic2a/biot/stage1_screen_bcic2a_biot_coords3d_geodesic_rbf_axes_n6_gain0p10_s42.yaml	ss_s1_bcic2a_biot_c3_geodesic_rbf_axes_n6_gain0p10_s42	BIOT spherical geodesic anchor-RBF token residual
stage1_screen_bcic2a_biot_coords3d_reference_gain0p10_s42	stage1_screen	bcic_2a	bcic2a	biot	coords3d_reference	42	42	coords3d_reference_gain0p10	"{""spatial_init_gain"":0.1}"	completed	0.24739583333333331	0.24739583333333334	0.3072916666666667	3	results/spatial_search/runs/bcic_2a_biot_coords3d_reference_full_seed42_same_layout_2026-05-17-0609	configs/eegfm_bench/generated/spatial_search/stage1_screen/bcic2a/biot/stage1_screen_bcic2a_biot_coords3d_reference_gain0p10_s42.yaml	ss_s1_bcic2a_biot_c3_reference_gain0p10_s42	BIOT 3D coordinates plus reference metadata
stage1_screen_bcic2a_labram_coords3d_residual_s42	stage1_screen	bcic_2a	bcic2a	labram	coords3d	42	42	coords3d_residual	"{""spatial_pos_mode"":""residual""}"	planned						configs/eegfm_bench/generated/spatial_search/stage1_screen/bcic2a/labram/stage1_screen_bcic2a_labram_coords3d_residual_s42.yaml	ss_s1_bcic2a_labram_c3_residual_s42	3D coordinate residual on native positions
stage1_screen_bcic2a_labram_coords3d_replace_s42	stage1_screen	bcic_2a	bcic2a	labram	coords3d	42	42	coords3d_replace	"{""spatial_pos_mode"":""replace""}"	planned						configs/eegfm_bench/generated/spatial_search/stage1_screen/bcic2a/labram/stage1_screen_bcic2a_labram_coords3d_replace_s42.yaml	ss_s1_bcic2a_labram_c3_replace_s42	3D coordinate replacement of native positions
stage1_screen_bcic2a_labram_coords3d_rbf_axes_n6_residual_s42	stage1_screen	bcic_2a	bcic2a	labram	coords3d_rbf	42	42	coords3d_rbf_axes_n6_residual	"{""spatial_embedding_kwargs"":{""anchor_mode"":""axes"",""n_rbf"":6},""spatial_pos_mode"":""residual""}"	completed	0.3090277777777778	0.3090277777777778	0.29947916666666663	12	results/spatial_search/runs/bcic_2a_labram_coords3d_rbf_full_seed42_same_layout_2026-05-17-0617	configs/eegfm_bench/generated/spatial_search/stage1_screen/bcic2a/labram/stage1_screen_bcic2a_labram_coords3d_rbf_axes_n6_residual_s42.yaml	ss_s1_bcic2a_labram_c3_rbf_axes_n6_residual_s42	Euclidean anchor-RBF residual on native positions
stage1_screen_bcic2a_labram_coords3d_rbf_axes_n6_replace_s42	stage1_screen	bcic_2a	bcic2a	labram	coords3d_rbf	42	42	coords3d_rbf_axes_n6_replace	"{""spatial_embedding_kwargs"":{""anchor_mode"":""axes"",""n_rbf"":6},""spatial_pos_mode"":""replace""}"	completed	0.2638888888888889	0.2638888888888889	0.28125	7	results/spatial_search/runs/bcic_2a_labram_coords3d_rbf_full_seed42_same_layout_2026-05-17-0618	configs/eegfm_bench/generated/spatial_search/stage1_screen/bcic2a/labram/stage1_screen_bcic2a_labram_coords3d_rbf_axes_n6_replace_s42.yaml	ss_s1_bcic2a_labram_c3_rbf_axes_n6_replace_s42	Euclidean anchor-RBF replacement of native positions
stage1_screen_bcic2a_labram_coords3d_geodesic_rbf_axes_n6_residual_s42	stage1_screen	bcic_2a	bcic2a	labram	coords3d_geodesic_rbf	42	42	coords3d_geodesic_rbf_axes_n6_residual	"{""spatial_embedding_kwargs"":{""anchor_mode"":""axes"",""n_rbf"":6},""spatial_pos_mode"":""residual""}"	completed	0.2708333333333333	0.2708333333333333	0.2881944444444444	14	results/spatial_search/runs/bcic_2a_labram_coords3d_geodesic_rbf_full_seed42_same_layout_2026-05-17-0619	configs/eegfm_bench/generated/spatial_search/stage1_screen/bcic2a/labram/stage1_screen_bcic2a_labram_coords3d_geodesic_rbf_axes_n6_residual_s42.yaml	ss_s1_bcic2a_labram_c3_geodesic_rbf_axes_n6_residual_s42	Spherical geodesic anchor-RBF residual positions
stage1_screen_bcic2a_labram_coords3d_geodesic_rbf_axes_n6_replace_s42	stage1_screen	bcic_2a	bcic2a	labram	coords3d_geodesic_rbf	42	42	coords3d_geodesic_rbf_axes_n6_replace	"{""spatial_embedding_kwargs"":{""anchor_mode"":""axes"",""n_rbf"":6},""spatial_pos_mode"":""replace""}"	completed	0.28385416666666663	0.2838541666666667	0.3072916666666667	14	results/spatial_search/runs/bcic_2a_labram_coords3d_geodesic_rbf_full_seed42_same_layout_2026-05-17-0622	configs/eegfm_bench/generated/spatial_search/stage1_screen/bcic2a/labram/stage1_screen_bcic2a_labram_coords3d_geodesic_rbf_axes_n6_replace_s42.yaml	ss_s1_bcic2a_labram_c3_geodesic_rbf_axes_n6_replace_s42	Spherical geodesic anchor-RBF replacement positions
