rank_in_dataset_backbone	is_best_for_dataset_backbone	dataset	dataset_slug	backbone	variant	hparams_id	hparams_json	stage	n_completed	n_planned	seeds_completed	mean_balanced_accuracy	std_balanced_accuracy	mean_accuracy	std_accuracy	best_run_id	best_seed	best_balanced_accuracy
1	yes	motor_mv_img	motor_mv_img	cbramod	coords3d_rbf	coords3d_rbf_axesdiag_n4_pair64_head_avgpool	"{""classifier_head"":{""dropout"":0.3,""head_type"":""avg_pool"",""hidden_dims"":[128]},""graph_depth"":0,""native_pair_dim"":64,""spatial_embedding_kwargs"":{""anchor_mode"":""axes_diagonal"",""n_rbf"":4}}"	stage1_screen	1	1	42	0.4820247258328963	0.0	0.48177496038034867	0.0	stage1_screen_motor_mv_img_cbramod_coords3d_rbf_axesdiag_n4_pair64_head_avgpool_s42	42	0.4820247258328963
2		motor_mv_img	motor_mv_img	cbramod	coords3d	coords3d_pair64_head_avgpool	"{""classifier_head"":{""dropout"":0.3,""head_type"":""avg_pool"",""hidden_dims"":[128]},""graph_depth"":0,""native_pair_dim"":64}"	stage1_screen	1	1	42	0.48033667862087215	0.0	0.48019017432646594	0.0	stage1_screen_motor_mv_img_cbramod_coords3d_pair64_head_avgpool_s42	42	0.48033667862087215
3		motor_mv_img	motor_mv_img	cbramod	coords3d	coords3d_pair32_head_avgpool	"{""classifier_head"":{""dropout"":0.3,""head_type"":""avg_pool"",""hidden_dims"":[128]},""graph_depth"":0,""native_pair_dim"":32}"	stage1_screen	1	1	42	0.4786921484967468	0.0	0.4786053882725832	0.0	stage1_screen_motor_mv_img_cbramod_coords3d_pair32_head_avgpool_s42	42	0.4786921484967468
4		motor_mv_img	motor_mv_img	cbramod	coords3d_rbf	coords3d_rbf_axes_n6_pair64_head_avgpool	"{""classifier_head"":{""dropout"":0.3,""head_type"":""avg_pool"",""hidden_dims"":[128]},""graph_depth"":0,""native_pair_dim"":64,""spatial_embedding_kwargs"":{""anchor_mode"":""axes"",""n_rbf"":6}}"	stage1_screen	1	1	42	0.4756219966830624	0.0	0.4754358161648177	0.0	stage1_screen_motor_mv_img_cbramod_coords3d_rbf_axes_n6_pair64_head_avgpool_s42	42	0.4756219966830624
5		motor_mv_img	motor_mv_img	cbramod	coords3d_distbias	coords3d_distbias_pair64_scale0p05_n8_head_avgpool	"{""classifier_head"":{""dropout"":0.3,""head_type"":""avg_pool"",""hidden_dims"":[128]},""dist_bias_scale"":0.05,""graph_depth"":0,""native_pair_dim"":64,""spatial_embedding_kwargs"":{""n_rbf"":8}}"	stage1_screen	1	1	42	0.4682412198014563	0.0	0.468040147913365	0.0	stage1_screen_motor_mv_img_cbramod_coords3d_distbias_pair64_scale0p05_n8_head_avgpool_s42	42	0.4682412198014563
6		motor_mv_img	motor_mv_img	cbramod	coords3d_reference	coords3d_reference_pair128_head_avgpool	"{""classifier_head"":{""dropout"":0.3,""head_type"":""avg_pool"",""hidden_dims"":[128]},""graph_depth"":0,""native_pair_dim"":128}"	stage1_screen	1	1	42	0.46365361626527946	0.0	0.46328578975171686	0.0	stage1_screen_motor_mv_img_cbramod_coords3d_reference_pair128_head_avgpool_s42	42	0.46365361626527946
7		motor_mv_img	motor_mv_img	cbramod	coords3d_distbias	coords3d_distbias_pair64_scale0p02_n8_head_avgpool	"{""classifier_head"":{""dropout"":0.3,""head_type"":""avg_pool"",""hidden_dims"":[128]},""dist_bias_scale"":0.02,""graph_depth"":0,""native_pair_dim"":64,""spatial_embedding_kwargs"":{""n_rbf"":8}}"	stage1_screen	1	1	42	0.46035472805363803	0.0	0.4601162176439514	0.0	stage1_screen_motor_mv_img_cbramod_coords3d_distbias_pair64_scale0p02_n8_head_avgpool_s42	42	0.46035472805363803
8		motor_mv_img	motor_mv_img	cbramod	coords3d_distbias	coords3d_distbias_pair128_scale0p05_n12_head_avgpool	"{""classifier_head"":{""dropout"":0.3,""head_type"":""avg_pool"",""hidden_dims"":[128]},""dist_bias_scale"":0.05,""graph_depth"":0,""native_pair_dim"":128,""spatial_embedding_kwargs"":{""n_rbf"":12}}"	stage1_screen	1	1	42	0.45971031132909024	0.0	0.4595879556259905	0.0	stage1_screen_motor_mv_img_cbramod_coords3d_distbias_pair128_scale0p05_n12_head_avgpool_s42	42	0.45971031132909024
9		motor_mv_img	motor_mv_img	cbramod	coords3d_reference	coords3d_reference_pair64_head_avgpool	"{""classifier_head"":{""dropout"":0.3,""head_type"":""avg_pool"",""hidden_dims"":[128]},""graph_depth"":0,""native_pair_dim"":64}"	stage1_screen	1	1	42	0.440024900657245	0.0	0.4400422609614369	0.0	stage1_screen_motor_mv_img_cbramod_coords3d_reference_pair64_head_avgpool_s42	42	0.440024900657245
		motor_mv_img	motor_mv_img	cbramod	coords3d	coords3d_pair64_graph1_k4_head_avgpool	"{""classifier_head"":{""dropout"":0.3,""head_type"":""avg_pool"",""hidden_dims"":[128]},""graph_depth"":1,""graph_k_neighbors"":4,""graph_sigma_scale"":1.0,""native_pair_dim"":64}"	stage1_screen	0	1								
